#Time(s) flow thruput(Mb/s)
0.01s 0 1787.49
0.01s 1 0
0.01s 2 0
0.01s 3 0
0.01s 4 0
0.01s 5 0
0.01s 6 0
0.01s 7 0
0.01s 8 0
0.01s 9 0
0.01s 10 0
0.01s 11 0
0.01s 12 0
0.01s 13 0
0.01s 14 0
0.01s 15 0
0.01s 16 0
0.01s 17 0
0.01s 18 0
0.01s 19 0
0.02s 0 961.741
0.02s 1 0
0.02s 2 0
0.02s 3 0
0.02s 4 0
0.02s 5 0
0.02s 6 0
0.02s 7 0
0.02s 8 0
0.02s 9 0
0.02s 10 0
0.02s 11 0
0.02s 12 0
0.02s 13 0
0.02s 14 0
0.02s 15 0
0.02s 16 0
0.02s 17 0
0.02s 18 0
0.02s 19 0
0.03s 0 952.32
0.03s 1 0
0.03s 2 0
0.03s 3 0
0.03s 4 0
0.03s 5 0
0.03s 6 0
0.03s 7 0
0.03s 8 0
0.03s 9 0
0.03s 10 0
0.03s 11 0
0.03s 12 0
0.03s 13 0
0.03s 14 0
0.03s 15 0
0.03s 16 0
0.03s 17 0
0.03s 18 0
0.03s 19 0
0.04s 0 954.368
0.04s 1 0
0.04s 2 0
0.04s 3 0
0.04s 4 0
0.04s 5 0
0.04s 6 0
0.04s 7 0
0.04s 8 0
0.04s 9 0
0.04s 10 0
0.04s 11 0
0.04s 12 0
0.04s 13 0
0.04s 14 0
0.04s 15 0
0.04s 16 0
0.04s 17 0
0.04s 18 0
0.04s 19 0
0.05s 0 952.32
0.05s 1 0
0.05s 2 0
0.05s 3 0
0.05s 4 0
0.05s 5 0
0.05s 6 0
0.05s 7 0
0.05s 8 0
0.05s 9 0
0.05s 10 0
0.05s 11 0
0.05s 12 0
0.05s 13 0
0.05s 14 0
0.05s 15 0
0.05s 16 0
0.05s 17 0
0.05s 18 0
0.05s 19 0
0.06s 0 953.549
0.06s 1 1305.4
0.06s 2 0
0.06s 3 0
0.06s 4 0
0.06s 5 0
0.06s 6 0
0.06s 7 0
0.06s 8 0
0.06s 9 0
0.06s 10 0
0.06s 11 0
0.06s 12 0
0.06s 13 0
0.06s 14 0
0.06s 15 0
0.06s 16 0
0.06s 17 0
0.06s 18 0
0.06s 19 0
0.07s 0 952.32
0.07s 1 963.789
0.07s 2 0
0.07s 3 0
0.07s 4 0
0.07s 5 0
0.07s 6 0
0.07s 7 0
0.07s 8 0
0.07s 9 0
0.07s 10 0
0.07s 11 0
0.07s 12 0
0.07s 13 0
0.07s 14 0
0.07s 15 0
0.07s 16 0
0.07s 17 0
0.07s 18 0
0.07s 19 0
0.08s 0 951.91
0.08s 1 956.826
0.08s 2 0
0.08s 3 0
0.08s 4 0
0.08s 5 0
0.08s 6 0
0.08s 7 0
0.08s 8 0
0.08s 9 0
0.08s 10 0
0.08s 11 0
0.08s 12 0
0.08s 13 0
0.08s 14 0
0.08s 15 0
0.08s 16 0
0.08s 17 0
0.08s 18 0
0.08s 19 0
0.09s 0 952.32
0.09s 1 953.549
0.09s 2 0
0.09s 3 0
0.09s 4 0
0.09s 5 0
0.09s 6 0
0.09s 7 0
0.09s 8 0
0.09s 9 0
0.09s 10 0
0.09s 11 0
0.09s 12 0
0.09s 13 0
0.09s 14 0
0.09s 15 0
0.09s 16 0
0.09s 17 0
0.09s 18 0
0.09s 19 0
0.1s 0 954.368
0.1s 1 952.32
0.1s 2 0
0.1s 3 0
0.1s 4 0
0.1s 5 0
0.1s 6 0
0.1s 7 0
0.1s 8 0
0.1s 9 0
0.1s 10 0
0.1s 11 0
0.1s 12 0
0.1s 13 0
0.1s 14 0
0.1s 15 0
0.1s 16 0
0.1s 17 0
0.1s 18 0
0.1s 19 0
0.11s 0 952.32
0.11s 1 951.91
0.11s 2 0
0.11s 3 0
0.11s 4 0
0.11s 5 0
0.11s 6 0
0.11s 7 0
0.11s 8 0
0.11s 9 0
0.11s 10 0
0.11s 11 0
0.11s 12 0
0.11s 13 0
0.11s 14 0
0.11s 15 0
0.11s 16 0
0.11s 17 0
0.11s 18 0
0.11s 19 0
0.12s 0 953.549
